Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
Phase 1 Pediatric Pharmacokinetics/Pharmacodynamics (PK/PD) Study,38,34,39,36,21,38,43,42,34,44,35,50,50,30,33,47,29,20,36,43,39,31,36,32,32,31,33,32,37,35,50,50,33,43,50,50,40,33,43,43,33,48,39,38,41,38,35,31,39,32,33,33,38,33,33,30,50,44,35,39,39,40,50,40,31,38,33,44,31,40,53,28,42,42,31,38,44,28,41,40,32,31,40,30,32,33,33,35,35,40,40,50,31,22,38,35,21,44,38,35,25,37,32,44,28,38,50,50,44,35,27,37,38,27,27,28,42,33,43,41,45,40,46,35,46,46,43,38,27,33,23,45,36,43,50,43,45,32,33,37,32,31,37,43,50,38,33,62,41,29,33,31,33,40,29,45,44,38,56,28,28,30,36,34,33,37,32,45,38,31,35,33,31,27,37,38,29,35,36,44,29,42,43,47,50,26,54,46,47,50,36,36,40,37,34,40,37,38,33,34,50,50,45,50,48,40,46,43,27,38,32,40,29,33,30,44,32,43,36,37,35,25,35,41,43,42,39,36,33,50,44,43,58,25,36,35,33,27,41,28,43,35,42,56,29,44,37,34,43,37,36,35,29,25,40
A COPARATIVE STUDY OF EFFICACY OF SYMPLOCOS BARK POWDER APPLICATION ARROUND THE EYELIDS WITH AND WITHOUT DRUMSTICK LEAVES EXTRACT EYE DROPS IN SPRING CATARRH.,38,40,35,50,44,41,38,38,38,38,47,58,40,40,50,41,45,42,44,35,32,31,50,36,49,46,40,36,40,35,62,40,40,43,35,27,36,29,35,36,40,52,48,38,55,38,42,32,44,29,52,38,46,33,33,45,40,36,29,33,52,33,39,40,38,50,50,56,50,40,29,44,50,42,37,31,39,36,41,47,39,34,40,39,43,33,33,40,32,35,47,50,41,42,42,29,36,33,38,35,75,37,27,39,42,44,62,38,44,46,27,32,35,30,23,39,40,38,42,47,32,40,38,35,54,31,43,38,42,42,38,40,40,43,44,35,45,37,39,37,32,33,40,57,40,38,42,50,40,41,38,38,33,36,35,27,39,31,44,33,39,43,45,44,56,32,36,40,25,29,31,37,38,36,37,33,29,40,43,44,50,33,50,41,50,38,42,46,40,35,36,36,50,41,48,47,48,50,44,36,62,67,45,50,35,44,46,43,31,38,33,40,34,38,47,44,40,36,50,39,43,50,43,35,43,33,33,50,39,50,39,29,33,33,33,39,27,27,39,35,38,31,33,44,43,44,37,38,43,37,32,50,40,42,50
Changes of vaginal environment (pH) with vengara neer douche in white discharge (fungal) patients,46,53,32,32,32,44,33,33,44,44,53,42,50,40,40,41,35,38,40,35,43,38,36,44,41,38,47,45,37,35,50,30,33,71,45,50,32,29,46,39,33,48,43,44,32,50,46,36,44,29,38,29,31,27,50,40,50,43,35,39,39,47,44,40,38,50,56,44,44,40,41,44,42,42,37,46,39,56,53,40,39,38,40,44,39,38,25,40,45,60,40,50,34,33,38,39,43,44,25,45,50,42,36,39,40,44,50,38,44,50,44,42,38,40,50,39,43,33,43,41,32,47,38,45,38,38,29,38,50,42,46,30,36,43,44,35,42,39,44,37,39,33,44,29,50,50,33,50,45,33,31,38,39,28,31,45,39,44,56,36,39,32,41,40,44,42,36,30,33,33,33,42,36,39,37,42,29,40,43,50,35,42,50,47,50,37,47,33,45,45,44,29,40,26,52,53,35,50,33,36,38,50,45,41,39,30,38,57,30,38,41,45,38,38,41,33,33,57,50,43,35,38,57,53,43,29,20,43,39,38,33,43,50,33,53,30,37,36,42,38,42,39,32,33,43,38,41,41,35,42,41,45,43,42,40
"Comparison of three techniques of insertion of i-gel with respect to time of insertion, failure rate.",38,53,35,32,38,41,43,29,36,44,35,33,40,50,50,35,42,35,40,39,32,44,43,36,31,46,47,41,32,30,38,50,40,43,50,45,40,42,41,43,36,48,35,38,36,38,42,40,39,24,43,38,38,27,50,35,50,34,41,44,30,43,44,40,46,38,44,33,44,40,29,38,33,42,37,46,61,36,41,43,43,34,60,56,39,33,42,40,42,45,20,40,34,36,33,32,43,38,50,50,25,42,28,39,35,29,38,31,31,38,23,42,38,35,45,37,53,42,37,41,41,47,54,40,38,38,29,38,35,50,46,30,33,57,50,35,39,35,44,37,35,40,38,29,40,44,45,38,40,38,39,31,39,29,38,45,39,44,44,34,44,33,36,40,33,37,36,30,33,31,25,28,32,36,41,38,29,45,43,44,36,55,43,41,42,40,42,46,40,35,36,36,50,30,33,40,41,50,33,38,25,50,40,45,35,40,46,43,33,46,41,35,42,38,41,33,33,36,50,39,35,38,43,35,43,33,39,43,32,38,50,43,42,33,40,39,40,41,35,43,46,42,42,44,43,50,38,45,39,37,36,35,36,50,40
usefulness of a standard nursing handover procedure on nurses™ acceptance and patient satisfaction.,46,53,26,27,47,38,52,29,36,44,47,33,50,40,50,47,42,32,37,48,39,38,43,48,38,46,45,45,33,42,62,40,47,36,45,36,24,25,38,39,40,52,52,38,41,43,31,38,39,41,38,34,32,40,33,35,60,46,35,44,35,27,39,40,54,50,40,33,44,40,35,41,50,50,30,46,56,47,47,40,50,38,40,33,32,38,33,40,32,45,33,40,38,36,42,26,50,50,25,50,50,37,36,39,45,29,50,31,27,31,31,37,42,41,23,45,41,33,37,35,36,47,54,40,62,38,43,31,38,50,54,40,40,43,38,39,41,45,33,37,35,42,33,43,40,44,42,38,45,33,42,26,33,43,34,36,56,50,67,33,39,30,45,36,62,42,45,35,46,33,35,37,36,39,41,46,50,35,43,44,43,50,57,53,58,45,47,42,35,45,31,42,50,41,38,47,48,50,44,35,38,50,50,45,39,30,54,43,40,46,41,40,38,43,41,44,50,50,33,39,52,38,48,47,57,32,33,50,42,38,50,43,42,52,47,35,47,50,35,41,50,32,33,33,50,44,44,36,43,47,34,40,36,42,40
Effects Of Different Music Genres On The Brain Wave Pattern,31,47,31,32,35,41,38,38,33,38,41,25,40,30,50,41,39,33,44,39,32,44,43,36,41,46,33,41,33,26,38,30,40,43,35,33,26,33,28,32,38,48,39,38,45,54,39,38,39,41,43,33,38,47,50,40,40,32,47,33,35,37,33,40,31,38,39,33,44,40,29,44,42,42,39,38,56,39,41,43,43,48,20,39,46,33,42,40,39,35,33,30,31,33,42,35,44,38,25,30,25,37,36,42,40,42,50,31,31,42,32,32,26,27,39,24,43,29,42,35,36,40,38,45,38,38,29,25,38,42,46,35,40,29,50,35,40,39,44,37,42,34,44,43,30,44,42,50,45,33,35,29,28,44,32,27,29,50,56,33,39,32,41,38,22,53,36,30,42,36,33,39,44,35,37,46,29,35,36,38,36,33,36,41,33,37,37,42,35,45,40,29,30,29,29,47,52,38,33,26,38,50,35,50,35,35,38,29,33,38,41,40,36,33,41,44,37,36,33,27,35,25,29,44,43,40,22,43,45,25,39,43,26,25,33,37,37,45,35,34,38,35,35,33,43,50,41,38,35,42,32,40,36,42,30
"Effect of Diode Laser as an additional therapy to Scaling and Root Planing on the levels of Gingival Crevicular Fluid (GCF) Endocan, Vascular Endothelial Growth Factor-A and Tumor Necrosis Factor-Ž‚± in Aggressive Periodontitis.",46,40,22,23,35,51,29,21,36,25,35,42,30,50,33,53,19,35,28,30,32,31,29,28,28,31,27,23,23,48,38,30,27,21,21,27,12,12,32,32,24,29,43,25,32,25,38,40,28,22,14,10,23,20,17,20,30,25,35,17,26,47,22,40,46,50,22,33,25,40,35,24,17,25,28,31,22,25,24,30,25,34,20,24,39,21,25,30,33,15,27,20,19,22,33,16,29,50,25,25,0,37,23,22,25,24,38,31,31,31,29,32,35,38,32,29,23,25,27,29,27,20,23,35,38,23,43,25,42,33,54,20,28,43,31,27,36,20,22,29,13,24,24,43,20,25,33,38,35,28,29,27,25,33,32,36,33,25,44,26,22,38,36,27,33,21,18,30,25,13,21,42,32,47,33,8,29,35,29,38,29,25,36,35,50,38,26,25,40,50,36,57,50,33,29,27,34,38,33,38,38,17,20,36,39,40,23,29,27,23,21,15,38,24,24,22,23,29,17,41,17,25,38,47,14,25,28,43,21,38,22,43,25,33,40,30,16,18,26,24,33,39,25,33,29,19,41,38,35,16,20,30,43,33,30
To characterize the care pathway flow of postacute myocardial infarction (MI) patients as a result of standard assessments of left ventricular ejection fraction,46,60,39,41,41,43,33,50,46,25,35,50,50,50,67,47,45,42,40,43,36,35,36,40,38,62,35,36,53,39,75,50,40,43,50,32,40,54,32,39,24,43,27,38,36,38,39,37,39,21,38,29,46,40,33,40,50,23,41,39,39,43,33,40,38,50,39,33,31,40,37,35,42,50,37,38,61,42,41,50,39,45,40,50,43,39,42,50,42,40,33,40,35,31,42,32,43,44,33,40,50,32,41,39,48,31,38,38,44,35,33,42,42,38,36,33,50,44,39,35,36,40,46,45,38,38,43,50,27,42,54,35,32,50,56,35,36,32,39,37,39,29,49,43,50,38,36,38,40,46,38,31,33,36,17,73,33,31,56,25,39,36,45,44,33,37,36,30,38,36,33,33,32,39,41,33,36,30,43,50,50,50,43,41,50,43,42,42,50,45,40,29,30,41,43,60,41,38,33,38,38,50,55,50,30,40,38,57,27,38,45,50,40,38,41,33,29,36,50,39,48,25,52,65,43,50,50,50,33,38,44,45,60,45,40,48,47,45,32,43,58,32,33,56,57,44,54,45,43,37,41,40,36,33,30
Comparison og Triphala Gel and Chlorhehidine Gel as Local Drug Delivery Agent in Chronic Periodontitis Patients,46,40,30,36,41,34,43,42,41,50,41,50,30,40,50,53,39,32,31,36,36,56,24,40,44,38,27,32,43,27,38,40,33,36,45,50,48,58,43,50,57,43,52,44,41,38,35,31,39,37,43,38,31,40,50,45,60,36,41,44,43,37,44,47,38,38,61,44,44,40,41,41,38,58,37,31,56,39,38,37,25,34,40,39,39,36,25,35,48,40,47,40,41,31,54,40,50,44,50,40,50,42,41,44,38,40,38,44,50,35,31,37,42,41,41,34,33,33,36,35,41,40,38,40,27,38,57,38,42,58,62,41,40,57,44,39,39,39,39,42,41,33,36,43,50,44,42,50,35,33,38,42,33,44,34,55,30,44,56,38,39,34,41,33,44,38,41,45,46,33,29,37,37,33,37,43,50,45,50,45,43,67,50,41,50,40,53,46,45,65,44,50,50,41,38,47,33,50,44,40,38,50,40,44,43,51,46,57,33,42,47,35,38,38,41,33,33,29,33,43,43,40,43,38,57,47,39,36,42,50,44,45,50,42,40,48,33,32,32,35,47,39,50,44,43,44,37,34,35,42,47,35,36,42,50
A clinical trial to evaluate the effect of 2 different methods of oxygen supplementation in preventing fall in oxygen saturation during intubation in ICU,38,40,39,41,35,41,48,29,38,32,47,50,40,33,33,41,45,32,36,48,32,44,36,40,38,38,40,45,33,35,25,40,47,50,50,50,36,38,41,39,33,48,35,50,41,46,42,36,33,34,33,38,38,33,50,40,40,43,47,44,43,40,39,50,46,62,56,33,50,40,41,44,50,42,37,46,56,42,29,43,43,34,80,33,39,50,42,40,39,35,40,42,31,36,50,35,50,44,38,45,50,47,32,33,24,38,38,38,38,38,37,37,38,43,32,35,35,35,37,47,41,40,38,45,38,31,29,50,31,42,31,30,36,43,44,35,42,35,39,37,35,31,40,43,50,50,42,50,40,33,31,44,33,32,31,36,33,38,44,26,39,32,41,38,33,53,27,35,38,33,31,47,38,44,41,50,36,40,43,44,36,42,50,35,50,40,47,37,40,35,39,29,40,30,43,33,37,38,50,36,50,50,40,45,39,30,38,43,36,38,41,35,42,43,41,33,43,43,33,26,39,25,43,41,43,33,40,43,36,46,39,42,47,33,33,39,50,55,32,38,46,42,33,44,57,50,44,41,43,42,27,40,29,33,40
A COMPARATIVE PHARMACEUTICO-ANALYTICAL AND CLINICAL STUDY OF INDRAVATI AND VANGESHWARA RASA IN DIABETES,46,47,35,36,35,41,38,38,36,44,41,42,40,50,50,41,45,32,36,52,36,44,50,36,36,46,40,41,33,48,62,50,40,43,45,41,32,29,38,46,48,52,48,38,45,38,43,33,44,34,40,43,46,33,50,45,50,46,59,33,39,40,56,50,38,38,39,35,38,40,41,34,42,42,35,38,44,47,41,50,39,34,40,44,36,38,33,50,42,40,33,40,41,33,42,38,36,50,62,40,50,37,32,33,38,31,38,38,31,38,31,42,42,46,27,29,37,38,39,35,27,33,38,40,42,45,29,38,42,50,31,40,40,46,38,30,52,42,28,32,39,36,38,43,30,38,33,50,30,30,31,38,33,24,37,45,39,38,33,31,44,32,36,38,44,42,32,35,33,30,29,42,43,39,41,38,43,40,36,38,36,50,46,53,58,19,42,38,45,40,48,36,30,41,38,40,30,38,44,40,50,67,40,45,39,35,46,57,40,46,36,45,31,38,29,44,43,36,33,35,39,38,33,41,43,42,29,36,39,38,39,43,50,33,33,43,30,41,42,46,42,38,33,56,43,38,37,41,43,63,39,40,29,33,40
Studying the impact of relaxation (virtual reality) on the Chemotherapy patients.,45,53,30,32,38,41,24,33,33,38,41,42,30,20,33,47,52,38,36,39,29,25,21,36,38,46,20,32,33,30,38,40,47,36,40,36,28,33,34,43,26,35,39,31,36,32,35,29,44,29,43,24,31,37,33,30,40,32,53,39,30,37,39,60,46,50,33,44,38,60,41,38,58,42,30,38,39,42,35,43,36,31,40,39,32,38,33,30,39,30,33,40,31,22,33,39,43,44,38,40,50,32,37,28,42,33,38,38,31,31,38,42,31,35,44,29,43,44,39,35,36,33,38,40,31,23,29,25,42,33,54,30,32,43,50,52,41,26,39,42,36,36,36,43,40,38,58,38,35,34,46,38,28,32,26,45,28,31,67,36,39,28,34,36,33,47,32,30,50,36,32,33,36,39,48,38,31,35,50,44,36,42,36,53,50,40,47,20,36,40,20,29,40,37,38,40,44,38,33,41,50,50,50,45,43,45,46,57,29,31,41,40,38,38,36,33,37,36,33,43,39,38,43,44,57,33,39,36,36,38,33,36,35,30,40,39,33,41,31,41,42,29,42,40,43,38,41,38,39,42,40,42,36,36,59
To compare the effect of movement in front of Mirror and Movement of affected hand on upper limb movement in paralytic patients.,38,60,39,32,41,31,43,38,44,44,36,35,40,30,50,59,42,29,36,39,32,38,29,36,44,38,33,33,37,30,38,40,40,29,45,36,32,38,35,40,36,38,48,38,55,29,42,40,39,34,29,38,38,40,33,36,50,36,47,39,39,30,39,33,54,38,33,44,38,20,44,44,50,42,35,46,44,42,41,43,46,41,40,39,46,42,33,45,35,30,40,40,38,33,38,29,43,38,50,50,50,37,28,39,40,38,38,44,31,40,38,37,38,43,32,33,47,38,37,35,32,40,38,35,38,38,29,38,50,42,54,50,28,43,44,39,45,35,33,40,39,33,42,29,40,50,42,38,37,33,31,38,39,36,34,45,44,32,67,28,33,32,44,27,44,47,32,40,38,31,35,33,36,39,44,38,36,35,43,38,29,42,43,53,50,48,42,33,35,35,36,29,30,41,43,40,37,33,22,47,43,50,35,42,39,30,31,57,28,38,42,35,29,43,35,33,37,50,50,30,35,38,47,35,57,25,39,36,39,38,33,36,33,35,47,52,37,32,53,38,50,39,25,56,43,44,33,31,43,37,36,40,36,33,30
"A clinical trial to assess the effectiveness of recorded maternal voice on childs cooperation and pain perception during bone marrow examination among children with cancer at IRCH,AIIMS,New Delhi.",38,40,39,41,47,47,43,38,44,44,35,35,50,40,33,47,41,45,44,48,39,44,64,44,46,69,40,41,33,30,50,40,60,43,45,36,36,38,43,39,38,43,61,50,36,42,46,36,39,39,38,43,46,33,50,40,40,43,38,39,43,43,50,50,38,50,39,33,50,40,41,41,42,42,38,46,56,36,47,43,39,48,40,35,54,46,42,30,39,45,40,40,47,50,38,39,50,50,38,45,25,42,45,39,38,40,62,38,38,35,40,32,31,41,45,33,47,38,34,47,45,40,69,45,69,38,43,50,50,67,54,40,36,43,44,39,48,55,56,68,45,42,47,57,40,44,42,62,45,41,35,31,39,36,28,38,50,44,67,44,39,41,45,47,33,47,41,35,46,44,42,35,45,36,48,38,43,35,43,50,36,42,57,65,42,50,42,50,45,45,40,36,50,40,38,60,44,38,44,43,50,50,45,55,39,40,46,43,33,54,32,45,38,38,47,33,50,64,33,36,43,50,48,53,43,50,44,64,55,50,39,36,33,42,40,39,37,36,39,43,50,42,33,44,57,44,46,41,43,47,45,50,36,33,40
To find out dry eye among medical students,31,33,28,36,44,28,46,19,34,31,41,50,35,20,33,35,42,22,41,37,22,31,29,28,39,31,28,29,27,19,38,50,40,36,36,45,25,26,35,37,29,39,43,50,41,42,38,31,33,29,40,25,31,43,50,36,44,36,41,39,35,40,33,30,38,25,33,33,43,20,29,41,42,32,36,30,48,35,24,43,36,45,40,33,44,46,50,55,42,35,35,30,31,35,47,23,43,50,25,36,75,32,32,33,24,33,50,31,32,43,29,37,32,29,41,33,35,33,22,40,37,40,23,35,23,23,43,25,31,25,31,30,30,29,38,43,39,35,40,37,31,34,35,57,44,38,33,38,35,30,27,38,36,35,31,27,23,32,44,30,40,26,32,38,22,44,36,30,38,38,21,26,37,28,38,44,29,39,48,42,31,67,36,24,33,37,37,33,35,35,28,21,30,33,33,47,29,38,22,20,25,33,44,34,36,38,38,29,27,25,40,33,19,40,35,33,39,36,60,31,36,25,29,41,57,25,39,36,30,29,34,29,33,36,40,30,41,37,31,31,38,42,33,33,50,31,33,28,40,32,27,45,36,25,30
Comparing the flexor tightness and total lung capacity,46,47,30,32,47,31,17,38,31,38,41,42,40,40,33,29,45,32,29,30,36,38,43,36,38,38,33,27,47,35,62,40,40,36,35,29,28,29,29,33,38,48,52,38,41,38,38,38,33,34,38,24,38,40,50,32,50,29,39,33,35,37,36,40,23,50,39,33,38,40,25,34,33,50,30,38,39,36,40,43,39,38,50,28,39,27,42,30,42,35,40,50,34,44,42,35,36,31,50,40,50,37,39,31,30,34,38,38,19,31,35,42,35,30,32,33,42,30,25,41,27,34,38,35,38,23,43,38,46,33,46,30,33,57,39,17,30,36,42,34,35,31,36,29,40,45,42,50,30,39,40,38,33,40,19,36,50,32,44,38,48,33,44,36,44,32,38,30,38,22,31,28,24,25,33,48,29,29,50,38,36,50,50,41,42,31,42,37,32,47,26,29,40,37,30,43,27,38,38,26,25,33,35,41,26,40,54,43,43,29,35,35,43,34,41,33,37,50,50,20,35,25,40,41,50,38,40,36,52,62,44,29,25,25,40,39,40,50,30,41,38,35,33,44,43,31,37,36,39,36,36,40,43,42,30
A study to evaluate the efficacy of Svarnsaathi (a proprietary formulation enriched with curcumin) in the treatment of Oral Sub-Mucous Fibrosis,46,53,32,32,41,38,38,33,38,31,41,43,50,40,50,47,52,31,36,39,43,38,29,40,46,38,33,32,30,39,38,40,40,36,40,36,28,29,30,33,31,33,43,38,41,33,38,33,39,39,43,33,54,40,33,30,50,37,41,39,43,37,39,40,38,50,28,44,50,40,41,34,42,35,33,46,44,36,41,43,43,34,40,44,36,46,50,55,42,45,47,50,34,39,38,29,43,50,38,35,50,32,23,28,35,27,38,25,38,30,35,32,38,38,41,37,37,33,39,53,41,47,46,35,38,38,57,38,42,42,31,55,36,43,44,35,42,35,39,37,32,33,38,29,53,44,35,38,31,33,35,50,50,36,32,29,39,50,44,36,33,34,41,42,33,32,27,35,42,26,40,40,34,28,37,46,29,40,50,44,43,48,43,35,50,33,37,38,31,30,36,43,50,30,41,47,44,62,44,40,50,50,45,41,39,50,31,43,33,38,41,45,36,29,41,56,40,43,50,39,35,38,43,41,43,25,44,43,36,50,39,43,42,58,33,43,43,45,32,38,44,42,42,33,43,56,41,34,39,37,41,45,43,33,40
"Link between creativity, sensitivity to sensory stimuli and tendency to develop schizophrenia like symptoms among undergraduate students",38,40,35,32,41,41,38,38,38,50,47,42,40,40,50,47,35,40,36,39,36,38,37,36,33,46,40,32,40,35,38,40,40,36,40,45,32,38,35,46,43,33,43,38,32,33,42,38,44,37,43,43,38,33,50,40,50,43,47,39,39,47,39,50,46,38,42,56,38,40,47,44,33,42,33,46,28,31,35,33,32,31,20,39,36,38,33,45,35,35,40,40,44,31,46,32,43,44,50,35,50,37,32,47,30,32,25,50,44,35,33,37,38,30,32,37,43,38,34,53,41,40,40,45,31,46,43,50,50,42,31,40,40,43,56,39,36,32,41,41,35,33,27,29,50,31,50,50,45,41,38,44,50,32,38,36,33,38,44,31,35,32,32,29,44,42,36,50,33,24,31,28,34,33,37,38,50,39,43,31,43,50,36,53,67,40,42,38,45,35,36,43,40,44,38,48,41,38,44,38,50,36,40,41,35,35,38,43,53,100,36,40,36,38,35,44,37,43,33,35,37,50,43,29,43,33,39,29,40,38,33,43,42,42,40,43,27,41,39,43,33,45,33,44,43,44,38,31,39,42,45,40,29,42,30
A trial comparing the use of foleys catheter with and without weights on induction of labour,31,40,35,36,50,41,29,38,33,38,35,42,40,40,50,41,45,32,28,52,36,44,50,40,38,46,27,32,43,35,50,30,47,36,50,36,36,38,35,39,33,43,57,44,55,38,42,40,33,41,43,33,46,33,33,30,40,46,41,44,35,43,28,60,38,50,39,44,44,40,35,31,42,50,43,38,50,44,47,40,39,38,60,50,36,46,33,40,45,30,27,40,31,39,38,34,50,44,50,55,75,42,32,33,36,29,38,38,38,38,35,47,35,41,45,35,43,29,42,35,45,33,38,40,46,38,43,38,54,42,31,30,32,57,38,35,52,35,33,37,35,42,42,43,40,38,33,50,35,26,27,38,33,32,22,36,56,44,56,44,39,30,32,40,33,37,41,40,42,42,40,30,36,34,37,42,29,35,36,44,43,42,57,47,33,45,47,46,40,35,32,36,40,30,38,47,44,38,44,40,50,33,50,45,43,40,38,43,40,38,36,30,38,33,47,22,37,57,33,30,30,25,33,47,43,42,50,43,39,38,39,29,42,50,40,39,40,55,32,38,46,42,42,44,43,38,44,45,35,37,32,35,43,42,40
"A study to compare the effectiveness of two drugs, one given orally (tacrolimus) and another as injection (rituximab) in preventing disease recurrences (relapses) in children with frequent relapses of nephrotic syndrome, a kidney disease characterized by protein losses in the urine.",31,33,30,27,53,38,33,25,49,38,35,33,20,30,33,35,48,32,28,39,18,31,29,36,38,54,27,32,30,26,12,30,27,29,30,45,32,29,49,21,38,29,43,19,41,42,38,36,28,27,38,24,8,27,33,25,30,46,29,11,17,33,44,30,15,25,67,22,38,20,24,41,25,25,35,31,33,39,29,27,25,24,0,22,39,29,42,35,39,50,33,40,34,36,33,45,29,25,25,40,25,42,45,22,40,27,38,44,38,50,31,37,34,35,23,35,13,33,32,29,14,33,69,40,38,23,14,25,50,33,38,20,28,14,31,30,33,42,22,26,39,38,31,14,40,25,25,38,35,30,27,25,28,16,37,27,22,38,44,44,22,36,27,31,22,37,32,45,25,31,33,44,38,36,30,29,21,30,21,12,29,33,29,24,33,31,32,29,30,30,28,21,30,26,14,27,22,25,33,34,12,17,20,18,30,30,46,29,7,23,41,55,24,29,35,22,33,36,33,30,35,12,38,24,14,17,11,36,42,25,33,29,33,8,27,39,37,41,35,35,38,39,42,22,43,44,44,38,30,42,18,35,36,42,30
